RecipeName,TimeToCook,Ingredients,Instructions
Rogan Josh,2hrs 30mins,"fresh ginger, garlic cloves, water, water, vegetable oil, stewing beef, whole cardamom pods, bay leaves, whole cloves, peppercorns, cinnamon sticks, onions, ground coriander, cumin seeds, paprika, cayenne pepper, salt, plain yogurt, garam masala, fresh ground pepper","Put the ginger, garlic, and 4 tablespoons of water into the blender. Blend well until you have a smooth paste. Heat oil in a wide heavy pot over a medium heat, brown the meat cubes in serveral batches and set to one side. Put the cardamom, bay leaves, cloves, peppercons and cinnamon into the same hot oil. stir once and wait until the cloves swell and the bay leaves begin to take on colour. Now put in the onions. Stir and fry for 5 minutes until they turn a medium brown colour. Put in the ginger garlic paste and stir for 30 seconds. Add the coriander, cumin, paprika-cayenne, and salt. Stir and fry for 30 seconds. Add the fried meat cubes and juices. Stir for 30 seconds, now add 1 tablespoon of yoghurt, stir until well blended . Add the remaining yoghurt, a tablespoon at a time in the same way. Stir and fry for another 3 minutes. Now add 275ml of water if you're cooking lamb or chicken and 425ml of water if you're cooking beef. Bring to the boil, scraping all the browned spices off the sides and bottom of the pot. Cover and cook on low for an hour if you're cooking chicken or lamb and 2 hours if cooking beef, (or until meat is tender.). Every 10 minutes give the meat a good stir. When the meat is tender take off the lid, turn the heat up to medium, and boil away some of the liquid. All the fat that collects in the pot may be spooned off the top. Sprinkle the garam masala and black pepper over the meat before you serve and mix them inches."
Saag Bhaji,10mins,"frozen chopped spinach, cumin seed, whole dried chilies, salt, canola oil","1) In a medium sized skillet or frying pan, heat up the canola oil on medium heat. 2) Add the generous pinch of black cumin seed (kala jeera - you can find this in most South Asian grocery stores). Stir around a little. There will be a small sizzle. 3) Add the dried chilies either whole or torn up. Stir until fragrant. 4) Add the whole bag of frozen spinach. No need to thaw. Toss and stir until the spinach softens. 5) Keep stirring the spinach until it is cooked to the consistency you prefer. Cook longer for a drier consistency. At this point, add salt to taste and stir/toss the spinach. 6) Total cook time should be somewhere between 10-15 minutes. You can serve this immediately, but this also heats up well. My mother also makes this with shrimp, which you would add prior to the spinach. You could also mix in some fried up frozen shredded hash brown after the spinach is done."
Vada Pav,50mins,"vegetable oil, cumin seed, red onion, garlic clove, black salt, sugar, ground turmeric, mango powder, red chili powder, idaho potatoes, dry roasted peanuts, chopped, cilantro, unsalted margarine, hamburger buns,  pav bread, chutney, mint cilantro chutney, sev, cilantro, mint, red onion, pomegranate seeds, fresh lemon juice, table salt, water","Blend the cilantro, mint, chile, onion, pomegranate seeds (if using), lemon juice, and salt in a blender to a smooth paste. To aid in the blending process, you can add up to 2 tablespoons of water, if needed. Taste and add more salt if needed.14. Transfer to a covered container and chill for about 30 minutes. Serve cool. This chutney will keep, refrigerated, for 4 days. When ready to make, heat the vegetable oil in a large skillet over medium heat until it shimmers. Add the cumin seeds. As soon as they begin to sizzle add the onion and garlic. Cook for 1 to 2 minutes, until the onion just begins to change color. Add the black salt, sugar, turmeric, mango powder, chile powder, and potatoes. Mix well. Continue to cook for 1 to 2 minutes, until the mixture has completely heated through. Remove from heat and allow the mixture to come to room temperature. When you are ready to serve, reheat the potato mixture. It should be warmed through but not hot. Add the peanuts and cilantro to the potato mixture. Mix well and divide the mixture into four equal portions. Flatten them as you would hamburger patties. These are very delicate patties, so be gentle. Set the patties aside. Heat a large skillet or griddle over medium heat. Butter the inside of your buns. Place the buns buttered side down in the skillet and toast until golden. Remove from heat. Spread about 1 teaspoon of the tamarind-date chutney on one side of the bun and 1 teaspoon of the mint-cilantro chutney on the other side. Place the patty on top of one of the bun halves, sprinkling some sev on top, and close with the other side of the bun. Serve immediately."
Dosa,24hrs 2mins,"urad dal flour, rice flour, buttermilk, salt, fenugreek seeds, vegetable oil",Mix the urad dal flour and rice flour. Slowly add in buttermilk until it drops from the spoon smoothly.  A blender will ease this process. Add salt and fenugreek seeds to taste. Refrigerate batter overnight in an air-tight container. Heat oil in pan.  Pour the dosa into the pan quickly.  Use the bottom of a ladle to spread it thin and GENTLY smooth it out in a circle motion.  Too hard and you will tear the dosa.
Gobi Manchurian,40mins,"cauliflower, oil, all-purpose flour, cornstarch, sriracha sauce, salt & freshly ground black pepper, to taste, water,  vegetable oil, spring onions, spring onions, ginger paste, garlic paste, soy sauce, ketchup, sriracha sauce, white vinegar, sesame seeds, salt & freshly ground black pepper","Cut the cauliflower into medium to large size florets & wash them thoroughly. Allow them to dry completely before adding them to the batter. If there is any water remaining in the florets it will make the batter runny. Mix all batter ingredients together. Add the water last, slowly to create a fairly thick batter. Add the dry cauliflower florets & mix well so that each floret gets well coated with the batter. Marinate for between 30 minutes to 4 hours. When ready to make the dish, heat oil in a deep sided pan on medium-high heat. Once the oil is hot, lower the heat to medium and add the florets a few at a time deep frying until golden brown and crispy. Don’t fry them on high flame as the cauliflower needs to be cooked from inside too. Remove on absorbent paper to drain any excess oil. Continue frying the remaining florets in similar manner. Keep these crunchy florets aside. In a small container, mix the soy sauce, ketchup, sriracha sauce and white vinegar. Set aside. Heat oil in a large frying pan or skillet. Add ginger, garlic paste and white part of the spring onions. Saute for two minutes then add the sauce. Mix well and saute for 1 min until the sauce thickens. Add 1/2 tsp sesame seeds (reserve 1/2 tsp sesame seeds for garnishing) along with the salt & pepper, to taste. Just before serving, increase the heat to high and add the crunchy florets into the sauce. Stir fry for 2 mins so that the florets get well coated with the sauce.  Garnish with the spring onion greens and remaining sesame seeds.  Serve hot."
Appams,17hrs,"rice, coconut, cooked rice, milk, sugar, salt, baking soda","Soak the raw rice in water for around 3-4 hours. Scrape the coconut. Grind the rice with the coconut and the cooked rice till very fine. Keep it overnight or for 8 hours (not refrigerated) Early next morning (three hours before making the appams) add 1 glass of boiling hot milk to the batter and the sugar, salt and yeast/cooking soda (I prefer the yeast) Mix well (add more milk if required to get the consitency of pourable batter) Cover and keep aside for 3 hours. Now heat a non stick wok. (kadhai) Pour a ladle full of the batter into the wok and swirl the wok around so that the batter spreads around 6-8 inches in diameter. Cover and cook on medium heat till the lower part of the appam is light brown or the top part is not moist but spongy. The sides will seem lacey and the centre will be thick like an idli. This dish can be served with coconut milk and powdered cardamom sweetened with jaggery and sugar or with chicken or mutton stew (Indian style with coconut milk) ANd yes do try it with maple syrup or as it is (as my son enjoys it)."
Cucumber Yogurt Raita,5mins,"cucumber, spring onion, garlic clove, fresh ginger, of fresh mint, lemon juice, plain yogurt,salt, pepper, cumin seed","Combine cucumber, spring onion, garlic, ginger, mint, lemon juice and yoghurt in a bowl. Season with salt and pepper to taste. Cover and refrigerate for 30 minutes to allow flavours to blend. Sprinkle over cumin seeds just before serving and serve chilled."
Pani Puri,45mins,"semolina, refined flour, baking powder, water, oil, salt, cold water, mint powder, green chili paste, ginger paste, mango powder, cumin powder, chat masala, salt, potato, chickpeas, red chili powder, coriander leaves, onion, nylon sev","Step 1: Take a bowl sieve semolina and refined flour together then add baking powder and salt as taste. Knead smooth dough with help of required water. Keep it covered and set aside for 10 -15 minutes. Step 2: Knead the dough once again then make lemon sized balls. Roll out each ball about a 2 inch diameter thin puri with help of roller board. Repeat this with remaining dough. Make sure that remaining dough should be covered. Step 3: Heat oil in a bottomed pan and deep fry puris from both of sides till the golden and crispy. Drain on absorbent paper Step 4: For pani, mix mint powder, green chili paste, ginger paste, mango powder, cumin powder, chat masala and salt to taste in chilled water. Combined well. Step 5: For filling, mix boiled potato, yellow chickpeas, red chili powder, coriander leaves and salt in a bowl. Keep aside Step 6: Make a small hole on top of the each puri, put potato stuff inside the puri and add little pani in each puri now sprinkle onion and sev over the puris and serve."
Tomato Poha,45mins,"poha, curry leaf, salt, green chilies, lime juice, oil, onions, tomatoes, ground nuts, crushed, cilantro, turmeric powder, red chili powder, potato, mustard seeds, cumin seed","Wash poha. Drain water. Refresh with just sufficient water to cover poha and keep aside for 15 minutes. After 15 minutes, drain out water completely, loosen poha and break lumps, if any. Add salt, lime juice, turmeric powder and red chilli powder to poha. Mix well using a spoon. In a broad saucepan or heavy based pan, heat oil. Add mustard and cumin seeds. Allow to crackle. Add onions, green chillies and curry leaves. Stir-fry on medium-high flame until onions turn golden brown. Add potatoes and tomatoes, mixing well. After 3-5 minutes, add groundnuts and poha and mix well. Cook on low flame for 5-7 minutes. (Please keep mixing every minute in order to ensure that poha does not stick to the bottom of the vessel). Remove from flame. Transfer to a serving dish. Garnish with cilantro and serve immediately."
Medu Vada,1hr,"Urad Dal, hing, green chili pepper, onion, cilantro, salt, oil","Wash and soak dal in about 3 cups of water for about 4-6 hours. Drain the water and grind dal to smooth paste. Take dal batter out in a wide bowl. Add all the ingredients to the dal batter, cilantro, green chili, coriander,hing,onion salt, 1 tbsp oil beat ,the batter for 2-3 minutes this will make the batter light and fluffy. Keeping the right consistency of batter is very important. When you put the batter on your palm batter should hold its shape. Make the Vadas batter when you are ready to fry them. Heat the oil in a frying pan over medium high heat. The frying pan should have about 1 inch of oil. To check if the oil is ready, put one drop of batter in oil. The batter should sizzle and come up but not change color right away. If oil is very hot Vadas will not cook through and will not be crispy. Wet the palms and take golf size batter and place over your palm, flatten to round shape and make hole in the center with other hand wet fingers slowly slide Vada into the hot oil. Fry the Vadas from both sides to golden brown. Take them out over paper towel to drain access oil. Serve Medu Vada served with coconut chutney or Tomato ketchup."
Uttapam,1hr,"basmati rice, white lentils, salt, sugar, baking soda, onion, diced tomato, green chili pepper, fresh cilantro leaves, ghee, vegetable oil, dried red chilies, coriander seeds, fenugreek seeds, grated fresh coconut, yellow lentils, ground turmeric, onion, asafoetida powder, diced tomato, eggplant, tamarind pulp, salt, sugar, curry leaves, mustard seeds","Wash the rice and lentils separately in several changes of water. Leave each to soak in a large pan of clean water for a couple of hours Drain the rice and lentils, place in a blender, and grind to a smooth paste. Add a little water to form a thick batter Add the salt, sugar and baking soda to the batter and mix well. Set aside to ferment at room temperature for at least 4 hours and up to 15 Place the chopped onion, diced tomatoes, chopped green chile, and chopped cilantro in separate bowls Heat a griddle or nonstick pan. Brush with a little ghee or oil and pour in 2 to 3 tablespoons of the batter. Spread evenly with the back of a spoon into a thick circle 4 inches in diameter. Garnish the surface with a little each of the onion, tomato, green chile, and chopped cilantro and spread evenly. Sprinkle some of the oil or ghee over and around the bread. Cook over low heat until small bubbles appear on the surface, about 5 minutes Turn over and cook the other side until crisp and golden. Alternatively, you can finish it off under a hot broiler for 1 to 2 minutes. Serve hot with South Indian lentil curry Heat half the oil in a pan and add the red chiles, coriander seeds, fenugreek, and grated coconut. Cook, stirring, for 5 to 10 minutes; set aside to cool Wash the yellow lentils in several changes of water and place in a large pan of water. Bring to a boil, add the ground turmeric, and simmer for 15 to 20 minutes Put the coconut, chile and spice mix in a food processor or blender and process to a fine paste. When the lentils are soft and mushy add the sliced onions, asafetida, diced tomatoes, diced eggplant, and coconut paste and continue to cook for 5 minutes. Add the tamarind pulp, salt, to taste, and sugar and simmer for 2 minutes longer Heat the remaining oil in a separate pan and add the curry leaves and mustard seeds. When they begin to crackle, pour them over the lentils and serve immediately with plain boiled rice."
Idli,15hrs 20mins,"cooked rice, Urad Dal, salt","Rinse rice and dal and soak in water for about 2-3 hours. Grind mixture in a blender, adding enough water to make paste. Add salt and keep it aside to get sour for 12 hours. Take idli plates and place a drop of oil in each idli mould and spread it over the entire mould. Heat 2 cups of water in a large vessel or pressure cooker and place the filled idli plates and cover with lid. Cook on high for about 20 minutes. Remove the plates from the vessel and remove the idlis. Pour 2 tsp of sesame oil while serving. Side dish - Sambar, dosai milagai powder, and coconut chutney."
Falooda,30mins,"milk,  chinese noodles,  rose water, falooda seeds, pista","Soak the Takmaria Seeds in water for at least 1 hour. Boil the noodles/sev in water for about 15 minutes. Drain the water, and boil the noodles in a little milk for about 5-10 minutes on low heat.  Do not burn the noodles! Turn off the heat and add lots of ice to the pot to cool the noodles for about 10 minute  Stir them to quicken the process. Put the noodles in the glass, add Rooafzah/Rose Water, pour in milk, add a little crushed ice and stir.  (Rooafzah is a sweet syrup added to milk or water for a drink in itself). Top it off with a scoop or two of the Pista Kulfi Ice cream and enjoy!"
Papadams,55mins,"gram flour, black pepper, ground cumin, salt, garlic, water, water, cayenne,  oil","Stir together the flour, pepper, ground cumin seed, and salt in a large bowl or in the food processor; mix thoroughly until the spices are evenly distributed. Add the garlic and mix well. Add enough of the water to form a dough that will hold together in a cohesive ball; if necessary, add up to 1 additional tablespoon water. The dough should be fairly stiff and dry; if it is too wet, it will not roll well. Knead the dough for about 5 minutes by hand or pulse for about 15 seconds in the food processor; the dough should be smooth. With your hands, shape the dough into a cylinder or log about 2 inches thick and 6 inches long. With a sharp knife, cut the cylinder into 1/2-inch thick slices. The next step uses oil, so do not use your pastry cloth and rolling pin sleeve. Place each slice on a lightly oiled surface. Lightly oil the top of the slice and then roll out into a very thin circle about 6 or 7 inches in diameter. Papadams must be rolled extremely thin, maximum 1/16 inch. If the dough sticks to your rolling pin, gently pull it off. Dust the tops of each papadam with cayenne pepper. Using a metal spatula to loosen the edges of the papadams from the rolling surface, carefully place them on large baking sheets. The traditional method for preparing and frying papadams is described below; you can also bake them in a 300F oven for about 15 to 25 minutes, or until crisp and dry. The cooking time may vary beyond this range depending upon the thickness and moisture in the rolled dough. Cool them on a rack. To prepare the papadams in an authentic manner, don't bake them; first allow them to dry by leaving them in the sun for a few hours or by placing them in a very low oven (less than 200F) for 1 to 2 hours, turning occasionally. Dry the papadams until they are just slightly flexible and show no moisture; they should not brown or bake, however. At this point, the papadams may be stacked flat and stored in an airtight container until needed; they will keep for months if stored properly. When ready to serve, heat about 1/8 inch of oil in a large skillet; the oil should be hot, but not smoking; a drop of water flicked into the skillet should sizzle immediately. One at a time, drop the papadams into the hot oil. Turn the papadam when it begins to curl at the edges; it will quickly fry and become crisp. Remove it before it turns brown. Cool and drain the papadams on paper towels and eat them immediately."
Venn Pongal,45mins,"uncooked rice, moong dal, cumin seeds, black peppercorns, cashews, fresh ginger, salt, butter, curry leaves","Dry fry the green gram dal lightly. Put the dal, salt and rice in 3 cups water and bring to a boil, stirring often. Cover and cook about 20 minutes, stirring often until rice is soft and water is absorbed. Make a course powder of the cumin seeds and black pepper either in a morter and pestle or a spice grinder (I use a Magic Bullet). In a pan, heat ghee or butter, fry the cashews lightly and add the spice powder until it is scalded. Add the ginger and scald a bit more. Pour the mixture into the rice and stir well. Optionally, curry leaves may be added."
South Indian Filter Coffee,12mins,"water, coffee, milk, sugar","Boil 100 ml of Water in a kettle to 100 degree Celsius/212°F. In a moka pot, there are three parts upper, middle and lower part. Put 2 Tbsp of Coffee in the middle part(basket).Keep it aside. Pour hot water to the lower part, from that take 1 tbsp of water and put it into the middle part containing coffee, for preinfusion. Using fork, put holes in the preinfused coffee to facilitate free flow of water. Now assemble the moka pot and place it in the edges of the stove for 2 mins on medium-low flame. You can see coffee on the upper part just like fountain,in this stage switch off the stove. mix this coffee concentrate with milk and sugar. Hot flavorful coffee is ready."
Egg Curry,35mins,"hard-boiled eggs,  oil, onions, garlic, fresh ginger, coriander powder, turmeric, chili powder, cumin powder, salt, tomato paste, chopped tomatoes, water, garam masala","In a small bowl or coffee cup, mix the coriander, turmeric, chilipowder, cumin and salt. In a large frying pan, saute the onion, garlic and ginger in the oil until the onion softens. Add the spice mix to the onion mix, coating all the vegetables. Stir in the tomato paste, tomatoes and water. Allow to gently simmer 10-15 minutes uncovered, till the sauce begins to thicken. Gently stir in the eggs and the garam masala. Allow the eggs to heat through, and serve immediately."
Sweet Potato Curry,30mins,"sweet onions, canola oil, curry powder, cumin, cinnamon, fresh spinach, sweet potatoes, chickpeas, water, diced tomatoes, fresh cilantro, basmati rice","You may choose to cook the sweet potatoes however you prefer. I like to peel, chop and steam mine in a veggie steamer for about 15 minutes. Baking or boiling work well too. While sweet potatoes cook, heat 1-2 tsp of canola or vegetable oil over medium heat. Add onions and sauté 2-3 minutes, or until they begin to soften. Next, add the curry powder, cumin, and cinnamon, and stir to coat the onions evenly with spices. Add tomatoes with their juices, and the chickpeas, stir to combine. Add ½ cup water and raise heat up to a strong simmer for about a minute or two. Next, add the fresh spinach, a couple handfuls at a time, stirring to coat with cooking liquid. When all the spinach is added to the pan, cover and simmer until just wilted, about 3 minutes. Add the cooked sweet potatoes to the liquid, and stir to coat. Simmer for another 3-5 minutes, or until flavors are well combined. Transfer to serving dish, toss with fresh cilantro, and serve hot. This dish is nice served over basmati or brown rice."
Indian Lamb Curry,1hr 10mins,"boneless lamb, vegetable oil, bay leaves, black cardamom pod, cinnamon sticks, peppercorns, whole cloves, onions, ginger paste, garlic, green chili pepper, salt, turmeric, coriander powder, cayenne pepper, garam masala, diced tomato, plain yogurt, fresh cilantro leaves","Heat oil in large pan; add bay leaves, cardamom, cinnamon stick, peppercorns, and cloves. When leaves begin to sizzle and fragrance starts to release, add onions and saute until light golden, about 12-15 minutes, stirring frequently. Stir in the ginger paste, garlic, chile pepper, and lamb. Season the lamb with salt; continue cooking, stirring mix, for about 20 minutes more, adding a little water if necessary to keep food from sticking. Add turmeric, coriander powder, cayenne, and garam masala; stir for 5 minutes, adding 2 tablespoons water. Add diced tomatoes, and cook for 5 minutes, stirring frequently. Then add 4 cups of water and simmer for 15 minutes, or until meat is getting tender. Lower heat. Whisk the yogurt with a fork; and add to the pot slowly. Then cook until meat is done to your liking and sauce is thickened. Garnish with cilantro leaves. Serve with steamed basmati rice, or hot Indian breads, such as Naan."
Super Easy Naan,55mins,"warm water, sugar, active dry yeast, salt, flour","Combine warm water, sugar, and yeast in a bowl. Let stand for 5 minutes until foamy. Add salt and flour. Mix thoroughly. Knead dough on a floured workspace about 20 times and form into a tight ball. Put dough in a well oiled bowl and cover with a damp towel. Put in a warm place to rise for 30-45 minutes. Dough won't rise much, but it doesn't need to. Turn dough out onto a floured workspace. Divide dough into 8 pieces and roll out with a rolling pin to about 1/8"" thick. Grill naan pieces on a grill or electric griddle. In a pinch, a frying pan sprayed with some nonstick cooking spray will work. Grill for 1-2 minutes on each side. This recipe yields a very soft, chewey naan. Just the way I like it!"
Chicken Vindaloo,1hr 10mins,"chicken, salt & freshly ground black pepper, ghee, garlic cloves, yellow onions, ginger powder, cumin powder, yellow mustard seeds, ground cinnamon, ground cloves, turmeric, cayenne pepper, paprika, lemon juice, distilled white vinegar, brown sugar, salt, water, dried tamarind, hot water","Salt and pepper the chicken quarters. Heat a large frying pan and brown the chicken in the Ghee. You will have to do this in two batches. Remove the chicken to a 6-quart stove-top covered casserole, leaving the fat in the pan. Add the garlic and onion to the pan and sauté until golden brown. Add to the casserole along with the ginger, cumin, mustard seed, cinnamon, cloves, turmeric, cayenne, and paprika. Sauté all for a few minutes and add all the remaining ingredients except for the garnishes. Cover and simmer until the chicken is tender. about 45 minutes. Stir a few times during cooking; partially remove the lid during the last 10 minutes or so to thicken the sauce. Top with garnishes. Ghee: Butter that is cooked to separate the clear butter fat from the milk solids and moisture, an ingenious method that allows butter to keep for long periods of time. Tamarind: Tamarind paste and concentrate, fresh products, are available in the produce section of many ethnic markets. Both products, made from the tamarind pod, need to be reconstituted."
Indian Samosa,1hr 30mins,"all-purpose flour, vegetable oil, potatoes, onion, green chilies,  oil, ginger, garlic, coriander seed, cilantro, lemon, turmeric, garam masala, red chili powder, salt","Mix together the flour, oil and salt. Add a little water, until mixture becomes crumbly. Keep adding water, kneading the mixture till it becomes a soft pliable dough. Cover with a moist cloth and set aside for 20 minutes. Beat dough on a work surface and knead again. Cover and set aside. FILLING. Heat 3 tbsp oil. Add ginger, garlic, green chillies and few coriander seeds. Stir fry for 1 minute, add onions and saute till light brown. Add cilantro (fresh coriander), lemon juice, turmeric, red chili, salt and garam masala. Stir fry for 2 minutes. Add potatoes. Stir fry for 2 minutes. Set aside and allow to cool. Divide dough into 10 equal portions. Use a rolling pin, roll a piece of dough  into a 5"" oval. Cut into 2 halves. Run a moist finger along the diameter. Roll around finger to make a cone. Place a tablespoon of the filling into the cone. Seal the third side using a moist finger. Deep fry the samosas on low to medium heat until light brown. Serve with tomato sauce or any chutney you love."
Plain Raita,2mins,"yoghurt, cumin seed, salt, black pepper, coriander leaves",Mix all the ingredients together in a bowl. Keep in a cool place until needed. Serve chilled.
Saffron Rice,55mins,"basmati rice, saffron thread, boiling water, boiling water, ghee, cinnamon sticks, whole cloves, onion, minced garlic clove, salt, ground cardamom","Place the saffron in a small bowl and cover with 3 tablespoons of boiling water. Soak for 10 minutes. Meanwhile, heat the butter over moderate heat in a large 3 or 4 quart stockpot. Add the cinnamon and cloves and stir well. Add the onions, garlic and saute for about 2 minutes. Add the rice and stir for about 5 minutes. Pour in the 4 cups of boiling water or broth, salt, and the cardamom. Bring to a boil over high heat. Add the saffron and its soaking water. Stir gently. Cover, reduce heat, and cook for 25 minutes. Fluff, remove cloves and cinnamon sticks and serve hot."
Pumpkin Chutney,1hr 45mins,"pumpkin flesh, apples, fresh gingerroot, grated, red chilies, mustard seeds, cider vinegar, light brown sugar, salt","Put all of the ingredients, EXCEPT FOR THE SUGAR AND SALT, in a large pan. Bring to the boil, reduce heat and simmer till pumpkin is tender. Add the sugar and salt, return to the boil, reduce the heat and simmer again for one hour till the mixture is thick. ladle the chutney into hot sterilised jars and seal. Ready to eat in four weeks and will keep for 2 years."
Sindhi Biryani,1hr 30mins,"mutton, basmati rice, potato, oil, onions, garlic paste, ginger, tomatoes, prunes, salt, red chili powder, cloves, green cardamoms, black pepper, cumin seeds, cinnamon sticks, black cardamom pods, bay leaves, yogurt, green chilies, coriander leaves, mint leaves, salt, bay leaves, cinnamon sticks, black cardamom pods, orange food coloring, mint leaf","Slice the onion and fry it in oil until it is light brown. Take out 1/4 of it and keep aside. Add Garlic (Lehsan), Ginger (Adrak), tomatoes, prunes (Aaloobukharay), salt, red chili powder, cloves, cardamoms, Black Pepper, (Kali Mirch), Cumin Seeds (Zeera), cinnamon, black cardamom pods and bay leaves to the remaining fried onions. Fry this until the tomatoes are tender and the water is dry. Then add meat, yogurt and water (if desired) and cook on medium heat until the meat is tender and the water has evaporated. On other side boil the potatoes until they're half cooked. Now, add green chillies, mint, coriander leaves, and the half boiled potatoes to the meat. Simmer for 2, 3 minutes. Your meat curry is done. Boil the rice with salt, bay leaves, cinnamon sticks and black cardamom and drain the water off when the rice is half done. Layer the curry with the rice in a pot in one on one layers. Sprinkle the food color, fried onions, and chopped mint leaves on top of the last layer. Close the lid tightly making sure no steam passes out of the pot and cook on low heat until the rice is done. Gently mix it before serving. Serve with Raita."
Potato & Coriander Samosas,1hr 30mins,"butter, fresh ginger, cumin seeds, curry powder, garam masala, potatoes, sultana, frozen baby peas, fresh coriander leaves, green onions, egg, oil, plain yogurt, plain flour, baking powder, salt, butter, plain yogurt","Heat the butter in a large frying pan, add the ginger, cumin seeds, curry powder and garam marsala and fry lightly for 1 minute or until very fragrant. Add the potato and 3 tablespoons of water and cook over low heat for 15-20 minutes or until the potatoes are tender. Add the sultanas, peas, coriander leaves and green onion and stir through. Set aside to cool. Mix the flour, baking powder and salt in a large bowl- make a well in the centre. Add the butter, yoghurt and 3/4 cup of water. Use a flat-bladed knife to bring the dough together. Turn onto a lightly floured surface and form a smooth ball. Divide the dough into four pieces. Roll out one piece until it is very thin. Use a 12cm (5in) diameter plate as a guide and cut six circles from the dough. Place a generous tablespoon of filling into the centre of each pastry circle. Brush the edges with egg and fold the pastry to form a semi-circle. Make repeated folds on the rounded edge by folding little pieces of pastry back as you move around the edge. Continue with the remaining pastry and filling. Heat the oil to 180C or until a bread cube browns in 15 seconds. Add samosas two or three at a time and cook until golden. Serve with yoghurt garnished with coriander."
Khichdi,1hr 10mins,"rice, mung beans, olive oil, whole cumin seed, onion, green chili pepper, tomatoes, ginger paste, turmeric, white vinegar, salt","Combine the rice and dhal in a bowl and rinse repeatedly until the water becomes clear. Soak for 30 minutes. Drain. Heat the oil in a frying pan and add the cumin. Fry until it starts to pop, then add the onion. Stir fry for around 4 minutes then add the tomato, ginger, chili, turmeric and vinegar. Stir fry until the tomato breaks up, around 5 minutes. Add all the ingredients to the bowl of a rice cooker plus around 600 ml of water (enough to just cover the rice/dhal). Cook for 10 minutes then leave to keep warm for a further 15 minutes without opening the lid. Add a little butter, mix well and serve."
Tandoori Paste,10mins,"salt, cayenne, coriander, ground, chili powder, garlic powder, dry mustard, ginger, turmeric, fennel, cumin, paprika, yogurt, lime juice","Mix together salt, cayenne, coriander, chili powder, garlic powder, dry mustard, ginger, turmeric, fennel, cumin, and paprika in a food processor. Add lime juice and yogurt when ready to make a paste; store in refrigerator. You can use it as a rub or marinade."
Gulab Jamun,50mins,"milk, flour, powdered milk, self-rising flour, milk, ghee, sugar, water, rose water, saffron, cardamom powder, butter","To Make Ghee: Put the butter in a good saucepan and bring to a boil on medium heat. Then reduce to low. Now this is what will happen as the butter slowly simmers. Moisture will be evaporated out of the ghee. The white protein-solids from the butter will sink down to the bottom of the pan and slowly turn golden. A foam will rise to the surface, and as it cooks will form a bit of a crust. The butter will cook into a gold color as well, and it will have a slightly nutty smell. When the moisture is gone, the ghee is done. Decant the oil and save the delicious golden buttery bits on the bottom of the pan for toast, or mixed with veggies or potatoes. If you've used salted butter, you don't want to use it on toast- the salt will knock you out, but it's still good in potatoes or whatnot. Making the Scented Syrup: Combine sugar and water and bring to a boil for 3 minutes. Remove from heat and add rose water or essence. Traditional Method: Use a heavy-bottomed pan because the milk will stick. Use a non-stick pot if you have it. Boil the milk down over medium heat, while stirring,  until it forms a paste.  Add the flour and mix into a smooth paste. Oil your hands and roll them into uniform balls, place them onto a buttered plate and set aside. Powdered-Milk Method: Combine the warm milk and ghee together. Mix the powdered milk and flour together and sprinkle slowly into the wet mix to form a dough. Oil your hands and form uniform balls (about 24) and set aside on a buttered plate. This is the most delicate part of the operation. Gentle, low heat is a must. Use a wok or karai for best results, with the ghee about 2.5-3 inches in depth. Heat the ghee on low to 215 degrees. Slip in the balls, one by one. They will sink. No touching at this point. Gently shake the pan to move the balls and keep them from getting too brown on one side. After about 5 minutes they will begin to float. You will notice them getting bigger. Now, use a wooden spoon or equivalent to gently agitate and keep them evenly browning. The ghee will slowly get hotter as the balls cook. After about 20 minutes, the ghee will have risen in temperature to around 245 degrees and the balls should be nice and golden. Remove a ball and put it in the syrup. If it doesn't collapse after 3 minutes, remove the others and add to the syrup. If it does collapse, fry for another 5 minutes and try again. Let soak for 2 hours at least before serving. Serve room temperature or warmed up. Enjoy your gulab jamuns!"
